City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
92,,JP,35.7333,140.8333,77.29,64,0,5.19,
93,,RU,71.6872,128.8694,-7.31,94,70,7.16,
94,,CL,-53.15,-70.9167,46.51,87,75,16.11,
95,,AU,-33.65,115.3333,64.26,73,76,15.46,
96,,PG,-2.0226,147.2712,84.83,72,80,9.31,
97,,CL,-37.6167,-73.65,50.22,82,21,3.2,
98,,AU,-28.7667,114.6,66.61,72,75,13.8,
99,,BR,-3.1019,-60.025,77.49,88,0,3.44,
100,,TO,-21.2,-175.2,84.36,74,20,8.05,
101,,KI,3.0707,172.7902,80.47,81,98,13.09,
102,,ES,43.6702,-7.4101,52.09,78,100,4.45,
103,,RE,-21.3585,55.7679,76.59,85,57,12.15,
104,,PF,-9.8,-139.0333,79.47,72,6,19.15,
105,,RU,50.6789,156.125,31.23,75,100,7.38,
106,,PW,7.0419,134.2556,82.9,79,100,19.55,
107,,RU,69.7008,170.3133,-8.1,85,14,3.49,
108,,ID,-6.8844,112.2051,82.26,76,66,6.49,
109,,TL,-8.9266,125.4092,74.28,40,100,3.15,
110,,MU,-20.4081,57.7,75.49,94,75,11.5,
111,,PE,-7.8447,-79.1469,64.94,77,100,5.86,
112,,ZA,-33.918,25.5701,66.09,95,40,12.66,
113,,AR,-54.8,-68.3,47.86,71,75,16.11,
114,,US,42.6001,-73.9662,40.93,89,14,5.95,
115,,SS,4.7717,33.5903,83.43,38,86,15.86,
116,,US,40.5982,-124.1573,50.67,70,0,24.16,
117,,SB,-10.4544,161.9205,84.7,70,91,8.19,
118,,CG,1.6481,14.5806,70.99,97,100,1.88,
119,,RU,67.4667,78.7,-12.26,99,88,5.1,
120,,ZA,-33.5906,26.891,63.18,96,100,7.0,
121,,AU,-25.2406,130.9889,84.04,17,0,9.22,
122,,CA,45.6169,-61.3485,44.19,96,100,4.61,
123,,KE,-1.367,38.0106,62.04,97,65,3.67,
124,,AU,-42.7826,147.0587,78.3,38,99,5.01,
125,,GL,72.7868,-56.1549,-7.71,99,28,3.6,
126,,US,21.3469,-158.0858,76.69,70,94,13.78,
127,,BR,-22.9661,-42.0278,75.97,90,97,9.1,
128,,US,44.7631,-85.6206,34.84,89,72,1.01,
129,,CO,1.1983,-70.1733,72.82,97,100,1.72,
130,,GL,65.6145,-37.6368,15.98,94,95,3.83,
131,,BB,13.0667,-59.5333,78.89,73,75,20.71,
132,,PF,-23.1203,-134.9692,78.84,73,7,17.52,
133,,GL,77.484,-69.3632,-2.27,87,100,5.41,
134,,US,64.8378,-147.7164,20.3,40,0,5.75,
135,,US,57.0531,-135.33,39.79,73,69,6.04,
136,,ZW,-20.3267,30.0665,59.81,97,100,7.47,
137,,ZA,-34.0033,24.7314,63.88,92,65,9.51,
138,,AU,-17.0,145.4333,87.44,59,37,6.29,
139,,MX,15.7432,-96.4661,77.25,67,40,4.92,
140,,ID,-5.3166,119.3661,84.22,72,42,2.13,
141,,RU,46.4856,135.8833,46.45,65,99,4.97,
142,,AU,-24.8667,113.6333,73.51,56,40,18.63,
143,,CA,66.1451,-65.7125,15.49,87,100,4.83,
144,,TH,14.7576,100.0899,90.86,37,100,7.31,
145,,ZA,-34.4187,19.2345,60.8,90,0,14.65,
146,,RU,55.0675,47.6111,35.96,100,100,4.07,
147,,IS,63.4427,-20.2734,39.13,77,100,29.77,
148,,PT,41.5388,-8.6151,57.34,91,100,4.38,
149,,CL,-35.3333,-72.4167,52.83,93,4,4.97,
150,,CA,69.4541,-133.0374,4.21,90,100,16.67,
151,,MY,5.4112,100.3354,84.13,83,20,7.0,
152,,FO,62.2266,-6.589,32.92,63,100,20.58,
153,,CA,62.456,-114.3525,24.57,62,68,23.0,
154,,RU,71.9167,114.0833,-0.4,89,19,2.42,
155,,US,32.944,-103.3485,76.05,10,2,3.0,
156,,US,38.8876,-76.5119,50.97,55,40,17.0,
157,,GB,51.3813,1.3862,42.69,77,65,1.01,
158,,BR,-8.7619,-63.9039,78.85,94,75,3.44,
159,,BO,-22.0866,-65.5942,51.75,68,3,12.73,
160,,NU,-19.0595,-169.9187,81.72,72,54,4.5,
161,,US,31.5545,-110.3037,74.8,13,6,7.0,
162,,BW,-20.4667,22.7167,64.44,80,31,8.72,
163,,US,28.017,-97.5169,72.32,57,82,20.24,
164,,NZ,-46.1927,168.8643,62.24,49,7,4.59,
165,,ZA,-33.9258,18.4232,63.1,73,0,3.0,
166,,BR,-24.7911,-50.0119,64.06,90,98,1.52,
167,,AU,-42.8794,147.3294,78.66,44,0,18.41,
168,,BR,-0.6136,-47.3561,75.99,91,100,3.87,
169,,CN,39.7432,98.5174,57.69,28,95,6.22,
170,,TZ,-1.2333,34.4333,63.9,65,97,10.6,
171,,AR,-43.3002,-65.1023,62.01,89,81,22.93,
172,,AR,-38.0023,-57.5575,67.08,94,16,21.99,
173,,US,57.79,-152.4072,36.19,37,0,6.02,
174,,ZA,-28.783,32.0377,66.24,86,100,1.28,
175,,US,42.3751,-70.9828,47.37,80,6,4.0,
176,,US,37.4636,-122.4286,68.79,66,0,21.85,
177,,KZ,51.1801,71.446,35.55,64,0,13.42,
178,,BR,-1.7656,-55.8661,75.27,96,74,2.89,
179,,ID,-5.6667,132.75,84.07,73,59,14.18,
180,,PT,38.5167,-28.7,56.37,70,62,34.49,
181,,US,39.4735,-118.7774,55.45,13,51,15.26,
182,,TM,41.8363,59.9666,63.84,44,83,9.15,
183,,ZA,-33.0117,17.9442,62.13,59,0,9.04,
184,,JP,35.7333,140.8333,77.29,64,0,5.19,
185,tiksi,RU,71.6872,128.8694,-7.31,94,70,7.16,
186,punta arenas,CL,-53.15,-70.9167,46.51,87,75,16.11,
187,busselton,AU,-33.65,115.3333,64.26,73,76,15.46,
188,lorengau,PG,-2.0226,147.2712,84.83,72,80,9.31,
189,lebu,CL,-37.6167,-73.65,50.22,82,21,3.2,
190,geraldton,AU,-28.7667,114.6,66.61,72,75,13.8,
191,manaus,BR,-3.1019,-60.025,77.49,88,0,3.44,
