City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1053,tadine,NC,82.26,broken clouds,-21.55,167.8833,
1056,honavar,IN,82.06,overcast clouds,14.2833,74.45,Hotel Sagar Residency
1062,sijunjung,ID,81.82,broken clouds,-0.6876,100.9537,Hotel Bukik Gadang
1070,pakxan,LA,85.01,scattered clouds,18.3778,103.6601,Kong Kham Pheng Guesthouse
1081,phan thiet,VN,84.96,overcast clouds,10.9333,108.1,Hotel Saigon-PT
1082,fare,PF,82.18,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
1085,nabire,ID,84.51,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
1087,pahrump,US,82.49,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
1099,naukot,PK,83.16,broken clouds,24.8587,69.4024,Rolak Sigrat Shop
1100,olutanga,PH,81.52,overcast clouds,7.3106,122.8464,Morales Lodge
1110,tabuk,PH,83.88,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
1111,biak,ID,83.61,overcast clouds,-0.9131,122.8766,Penginapan Kim
1115,mahbubnagar,IN,85.08,scattered clouds,16.7333,77.9833,Maruthi Mess and Fast Foods
1117,ahmadnagar,IN,84.72,scattered clouds,19.0833,74.7333,STARiHOTELS Maliwada Ahmednagar
1120,noumea,NC,85.98,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
1121,katobu,ID,89.01,overcast clouds,-4.9408,122.5276,La Ode Husein
1125,vaitape,PF,82.29,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
1133,jinji,CN,82.27,clear sky,23.2281,110.8261,
1138,henderson,US,88.72,clear sky,36.0397,-114.9819,Hawthorn Suites By Wyndham Las Vegas/Henderson
1146,hsinchu,TW,81.34,scattered clouds,24.8036,120.9686,迎曦大飯店
1154,kut chap,TH,80.38,broken clouds,17.4257,102.5669,ผึ้งหลวง รีสอร์ต
1159,fomboni,KM,82.92,light rain,-12.28,43.7425,Auberge les abou
1175,sri aman,MY,82.45,few clouds,1.2376,111.4621,Seri Simanggang Hotel
1180,lotofaga,WS,83.14,scattered clouds,-13.9764,-171.8578,Sataoa Beach Fales
1187,moerai,PF,81.84,scattered clouds,-22.4333,-151.3333,Le Manotel
1192,lashio,MM,84.07,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
1206,san rafael del sur,NI,85.17,scattered clouds,11.8485,-86.4384,Hospedaje El Chino
